name,Hobgoblin,,,,,points,
image,images/hobgoblin.png,,,,,,
inspections: ,General,Constitutional,Recent medical evaluations or treatments,,,,None
,,,Weight change,,,,Within normal limits
,,,Fatigue,,,,Within normal limits
,,,Difficulty sleeping,,,,Within normal limits
,,,Feeling well or poorly in general,,,,Generally feeling well
,,,Chronic pain,,,,No chronic pain
,,,"Fever, chills, sweat",,,,None
,,Eye,Last comprehensive eye exam,,,,Recent eye exam in the past year
,,,Chronic or past eye disorders,,,,No eye disorders
,,,"Pain, change in vision, or blurriness",,,,No pain or changes in vision
,,,Double vision,,,,No diplopia
,,,Eye discharge or redness,,,,Within normal limits
,,Head and Neck,Chronic or past head and neck disorders,,,,None
,,,Pain,,,,None
,,,Sores or non-healing ulcers in/arround mouth,,,,None
,,,Masses or growths,,,,None
,,,Changes in hearing,,,,None
,,,Ear pain or discharge,,,,None
,,,"Nasal discharge/postnasal drip, sore throat",,,,Within normal limits
,,,Change in voice/hoarseness,,,,None
,,,Dental pain/problems,,,,None
,,,Sense of lump or mass in throat when swallowing,,,,None
,,Pulmonary,Chronic or past pulmonary disorders,,,,None
,,,Shortness of breath with or without exertion,,,,Within normal limits
,,,Chest pain,,,,None
,,,Cough with or without blood,,,,None
,,,Wheezing,,,,None
,,,Snoring or not breathing,,,,"Within normal limits, no reported apneas"
,,Cardiovascular,Chronic or past cardiovascular disorders,,,,None
,,,Chest pain or pressure,,,,None
,,,Shortness of breath at rest or with exertion,,,,Within normal limits
,,,Shortness of breath when lying down,,,,None
,,,Waking up from sudden shortness of breath,,,,None
,,,Lower extremity swelling,,,,None
,,,Syncope,,,,None
,,,Sense of rapid or irregular heartbeat,,,,None
,,,Leg pain or cramps with walking,,,,None
,,,Wounds/ulcers in feet? Difficult or slow to heal?,,,,None
,,Gastrointestinal,Chronic or past GI disorder,,,,None
,,,Heartburn or substernal burning,,,,Within normal limits
,,,Abdominal pain,,,,None
,,,Difficulty swallowing,,,,None
,,,Pain upon swallowing,,,,None
,,,"Nausea or vomiting, with or without blood",,,,None
,,,Abdominal swelling or distention,,,,None
,,,Jaundice,,,,None
,,,Black/tarry or bloody stools,,,,None
,,,Constipation/diarrhea/other change in bowel habits,,,,None
,,Genitourinary,Chronic or past genitourinary disorder,,,,None
,,,Blood in urine,,,,None
,,,Burning with urination,,,,None
,,,Urination at night,,,,None
,,,Incontinence,,,,None
,,,Urgency,,,,Within normal limits
,,,Frequency,,,,Within normal limits
,,,"Incomplete emptying, hesitancy, decreased force of stream, need to void soon after urinating",,,,Within normal limits
,,,Andrology,,,,Not included in this package
,,,Ob/Gyn/Breast,,,,Not included in this package
,,Hematology/Oncology,Chronic or past hematological or oncologic disease,,,,None
,,,"Fevers, chills, sweats, weight loss",,,,None
,,,Abnormal bleeding or bruising,,,,Within normal limits
,,,New/growing lumps or bumps?,,,,None
,,,Hypercoagulability?,,,,Within normal limits
,,Neurological,Chronic or past neurological disease,,,,None
,,,Sudden or gradual loss of neurological function,,,,None
,,,Abrupt loss or change in level of consciousness,,,,None
,,,Witnessed seizure activity,,,,None
,,,Numbness,,,,None
,,,Weakness,,,,None
,,,Dizziness,,,,None
,,,Balance problems,,,,None
,,,Headache,,,,None
,,Endocrine,Chronic or past endocrine disorders,,,,None
,,,"Frequent urination, thirst, or hunger",,,,Within normal limits
,,,Fatigue,,,,Within normal limits
,,,Weight changes,,,,Within normal limits
,,Musculoskeletal,Chronic or past musculoskeletal disease,,,,None
,,,"Joint pain, redness, or swelling",,,,None
,,,Muscle ache,,,,Within normal limits
,,,Low back pain,,,,None
,,Mental Health,Known mental health disorder,,,,None
,,,Mood,,,,within normal limits
,,,Substance abuse,,,,within normal limits
,,,Anxiety,,,,within normal limits
,,,"Memory, confusion",,,,within normal limits
,,Dermatological,Chronic or past skin disorder,,,,None
,,,Hair loss,,,,None
,,,Skin eruptions/rashes,,,,None
,,,Growths,,,,None
,,,Sores that grow and/or don't heal,,,,None
,,,"Lesions changing in size, shape, and color",,,,None
,,,Itching,,,,None
,,Infectious diseases,Known current disease,,,,None
,,,"Fever, chills, sweat, rash",,,,None
,Constitutional,Overview,,,,psych con,"Patient appears awake, alert, and oriented x4, well-groomed, well-nourished, and neatly dressed, in no acute distress."
,,Temperature,,,,con,37°C
,,Respiratory rate,,,,con,15 breaths per minute
,,Pulse,,,,con,75 beats per minute
,,Blood pressure,,,,con,120/80 mmHg
,,Blood oxygenation,,,,con,99% O2
,,Height,,,,con,"3' 6"""
,Eye exam,Visual acuity with and without pinhole,,,,eye neuro,Snellen 20/20 OU with correction
,,Color,,,,eye,Ishihara: 15/15 OU
,,Observation and external anatomy,,,,eye neuro lymph,"No lid ptosis, lagophthalmos, or exopthalmos was observed. Conjunctiva clear, gray, and moist, sclera normally icteric, no midline deviation. Lacrimal glands and drainage within normal limits. Blinking normal in rate. Preauricular lymph nodes within normal limits."
,,Intraocular pressure,,,,eye,15mm Hg OU
,,Extraocular movements,,,,eye neuro,"There are no spontaneous or significant gaze-evoked nystagmus. Saccades are of normal velocity, metrics, and conjugacy. Ductions and versions are full. Ocular pursuit is smooth. VOR: head impulse testing is normal and symmetric horizontally and vertically. Cross-cover exam: there are no significant tropias or phorias."
,,Visual Fields,,,,eye neuro,Visual fields are normal to confrontation with finger counting
,,Pupil exam,,,,eye neuro,"OU 8 mm (dark) to 2mm (light). Pupils are equal, slit, reactive to light and accommodation, both directly and consensually, with no relative afferent pupillary defect."
,,Corneas,,,,eye,"Epithelia, stroma, endothelium, and tear film within normal limits."
,,Anterior chamber,,,,eye,Deep and quiet
,,Iris,,,,eye,Normal architecture
,,Dilated fundus exam,,,,eye,"Vitreous humor and fundi normal. Optic disc demonstrates normal bilateral cupping with cup to disk ratio of 0.3 and no nystagmus. Macula, vessels, and periphery normal, with no exudate, hemorrhage, emboli, or infarcts observed OU. "
,,Lens,,,,ent,Posterior chamber intraocular lens centered and clear within the capsular bag OU
,Head and Neck exam,Head,,,,derm ent,"Normocephalic, atraumatic, no visible or palpable masses, depressions, or scarring. No discoloration, rashes, or lesions."
,,Ear,Observation,,,lymph ent,"Pinna, tragus, and external auditory canal non-tender, without swelling. EAC clear without discharge, tympanic membranes translucent and mobile. Ossicles normal in appearance. "
,,,Acuity,,,Neuro ent,Hearing is intact with good acuity to whispered voice AU.
,,,Pure tone testing,,,Neuro ent,Within normal limits AU
,,,Word recognition,,,Neuro ent,Excellent AU
,,,Acoustic reflex testing,,,neuro ent,Within normal limits ipsilaterally and contralaterally AU
,,,OAE screening,,,ent,Normal AU
,,,QuickSIN,,,ent,No signal-to-noise ratio loss
,,Nose,,,,Lymph ent,"Septum, turbinates, and mucosal membranes intact, pink, and moist. Nares are patent bilaterally."
,,Sinuses,,,,Lymph ent,No tenderness noted to palpation or percussion
,,Oropharynx,,,,ent,"Clear, without erythema or exudate. Oral mucosa pink and moist. Salivary glands within normal limits. Mallampati class 1. Tongue normal in appearance without lesions and with good symmetrical movement. No buccal nodes or lesions are noted. Teeth show no obvious caries or periodontal disease. No gingival inflammation or significant resorption. Posterior pharynx demonstrates no asymmetry or lesions. Pharyngeal walls do not demonstrate pooling of saliva, asymmetry, or lesions. Mirror demonstrates pink and moist nasopharyngeal mucosa, adenoids, posterior choanae and eustachian tubes within normal limits."
,,Larynx,,,,ent,"Within normal limits, with good mobility of larynx by mirror. Vocal cords move normally by mirror. "
,,Thyroid,,,,Lymph ent,"No thyromegaly, tenderness, or masses. No exophthalmos noted."
,,Neck,,,,Derm ent CV mss lymph,"Supple, symmetric, no masses or crepitus, no lesions, bruits, or adenopathy. Carotid pulse 2+ bilaterally without bruit. Trachea in normal position. No head tilt. Capital extension and flexion, cervical extension and flexion, capital plus cervical extension, capital plus cervical flexion, and neck flexion with rotation within normal limits. Spurling test negative,"
,Lymphatic exam,Neck,,,,lymph ent,"Soft and supple, without lymphadenopathy. No tonsillar hypertrophy or exudate."
,,Axillae,,,,lymph mss,"Soft and supple, without lymphadenopathy."
,,Groin,,,,lymph abd,"Soft and supple, without lymphadenopathy."
,,Other,,,,lymph,"Soft and supple, without lymphadenopathy"
,Respiratory exam,Inspection and observation,,,,derm pulm,"The chest wall is symmetric, without deformity, and atraumatic in appearance. Effort, rate and movement within normal limits, no apneas."
,,Palpation,,,,pulm,No tenderness is appreciated upon palpation of the chest wall.
,,Percussion,,,,pulm,Resonance and vocal fremitus normal upon percussion.
,,Auscultation,,,,pulm,"Clear to auscultation bilaterally. No wheezes, rales, stridor, or rhonchi. Lung sounds clear in all lobes."
,Cardiovascular exam,Observation ,,,,cv derm,"External chest is normal in appearance, without lifts, heaves, or thrills. PMI is not visible. Regular rate and rhythm. "
,,Jugular venous pressure,,,,cv,JVP 7 cm above right atrium. No jugular venous distention noted. Abdominojugular test within normal limits.
,,Palpation,,,,cv,PMI is not visible and is palpated in the 5th intercostal space at the midclavicular line. Heart rate and rhythm are normal.
,,Auscultation,,,,cv lymph,"S1 and S2 are heard and are of normal intensity. No S3, S4, bruits, murmur, rub, or gallop. "
,,Assessment of extremities,,,,cv mss,"Carotid arteries, abdominal aorta, femoral arteries, and pedal pulses 2+ bilaterally, without bruit. No edemas or varicosities noted. ABPI between 1.2-0.90. Buerger's test within normal limits. Brodie-Trendelenburg test refills within normal limits."
,Abdominal exam,Observation,,,,abd lymph,No masses or tenderness. No hemorrhoid or hernia. No visible lesions or scars. The aorta is midline without bruit or visible pulsation. Umbilicus is midline without herniation.
,,Auscultation,,,,abd,Bowel sounds normal and normoactive in all 4 quadrants.
,,Percussion,,,,abd,"Percussion sounds normal, no hepatomegaly or splenomegaly noted. No tenderness or guarding noted."
,,Palpation,,,,abd,"Soft, symmetric, and non-tender, no organomegaly or masses. No McBurney's point tenderness."
,,Stool sample,,,,abd,No melena or hematochezia. Guaiac negative.
